,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S3,DOV_Branch,Past_Partner_Q1,w6_relationship_end_nonmar,w6_breakup_nonmar,w6_relationship_end_mar,w6_who_breakup,Q5_2,Q6A_2,Q9B_2,Q10_2,Q11_2,Q12_2,Q14_2,Q15A7_2_1,Q16_2,Q17B_2,Q17C_2,Q17D_2,Q20_2,Q21A_2_Year,Q21A_2_Month,Q21B_2_Year,Q21B_2_Month,Q21C_2_Year,Q21C_2_Month,Q21D_2_Year,Q21D_2_Month,Q21E_2_Year,Q21E_2_Month,Q21F_2_start_range,Q21F_2_Year,Q21F_2_Month,w6_identity_2,w6_outness_2,w6_outness_timing_2,Q23_2,Q25_2,Q26_2,Q27_2,Q28_2,w6_friend_connect_2_1,w6_friend_connect_2_2,w6_friend_connect_2_3,w6_friend_connect_2_4,w6_friend_connect_2_Refused,Q32_2,w6_otherdate_2,w6_how_many_2,w6_otherdate_app_2,w6_how_many_app_2,partyid7,PERSNET_hom,ppc10017,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_took_the_survey,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_q21d_month,w6_q21e_year,w6_q21e_month,w6_q21f_year,w6_q21f_month,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,partnership_status,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
0,2,2014039,Qualified,,,0.8945,,,0.27718836,19240.0,9,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,I wanted to break up more,nan,nan,"Yes, we were a same-sex couple",No (Not Latino or Hispanic),1991.0,HS graduate or GED,HS graduate or GED,Leans Republican,Associate degree,I met [Partner Name] in [answer in Q15A7_2],1.0,Once,nan,I am equally sexually attracted to men and women,No,2017,March,2017,March,nan,nan,nan,nan,2017,June,Q21B_2,nan,nan,bisexual,Only a few of them,13,I earned more,Different High School,nan,No,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)","Yes, I have met at least one person for dating, romance, or sex in the past year.","Two to Five people. I met between two and five different people in the past year for dating, romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Leans Democrat,Yes,Yes,Every day,Not asked,Never,30,25-34,30-44,Associate degree,Some college,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,26.0,HS graduate or GED,HS graduate or GED,Leans Republican,Associate degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,1.0,sexually attracted to men and women equally,nan,No,2017.0,March,no,2017.0,March,0.0,,nan,,,nan,2017.0,June,,nan,bisexual,Only a few of them,13.0,I earned more,232.0,Different High School,,No,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",1.0,nan,3.5,yes,no,,0.0,0.39005026,"unpartnered, has had past partner",0,2017.2084,2017.2084,30.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,232.0,1.0,no,no,no,no,White,no,12.0,14.0,12.0,14.0
3,6,2648857,Qualified,1.2597,98682.0,1.3507,1.2524,98110.0,0.41855597,29052.0,5,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,"Yes, we were a same-sex couple",No (Not Latino or Hispanic),1991.0,HS graduate or GED,Bachelors degree,Undecided/Independent/Other,HS graduate or GED,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",0.0,Never married,"I am mostly sexually attracted to women, less often sexually attracted to men",nan,No,2012,March,2013,April,nan,nan,nan,nan,2013,June,Q21B_2,nan,nan,bisexual,All or most of them,17,I earned more,Different High School,nan,No,No,No,No,No,Yes,No,"Yes, a social networking site (like Facebook or Myspace)","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,Yes,Every day,No,Never,28,25-34,18-29,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Female,No,3,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - other,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,lesbian couple,[Partner Name] is Female,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,26.0,HS graduate or GED,Bachelors degree,Undecided/Independent/Other,HS graduate or GED,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,0.0,"sexually attracted mostly to same gender, sometimes opposite gender",nan,No,2012.0,March,no,2013.0,April,0.0,,nan,,,nan,2013.0,June,,nan,bisexual,All or most of them,17.0,I earned more,80.0,Different High School,,No,No,no,no,no,yes,"Yes, a social networking site (like Facebook or Myspace)",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.58897805,"unpartnered, has had past partner",1,2012.2084,2013.2916,23.0,1.083252,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,80.0,1.0,no,no,no,no,White,no,16.0,12.0,12.0,12.0
8,12,1840651,Not Qualified,,,,0.9731,76230.0,1.1003397,76375.0,0,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,27,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,1.0774312,never had a partner,0,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,White,nan,,,,16.0
9,13,1840371,Qualified,1.0973,85960.0,,1091,85466.0,1.2336558,85628.0,15,Completed survey in over 2 minutes,gen pop,Yes,2,No,"[Partner Name] passed away, is deceased",nan,nan,nan,nan,"Yes, Mexican, Mexican American, Chicano",1945.0,12th grade no diploma,No formal education,Leans Democrat,5th or 6th grade,I met [Partner Name] in [answer in Q15A7_2],20.0,Never married,I am sexually attracted only to men,nan,No,1981,September,1982,October,nan,nan,nan,nan,nan,nan,Q21B_2,1983,September,heterosexual or straight,nan,nan,[Partner Name] earned more,Different High School,nan,Yes,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,Yes,Every day,No,More than once a week,65,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Female,No,1,A one-family house attached to one or more houses,"$15,000 to $19,999",Never married,Metro,West,Mountain,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,"Yes, Mexican, Mexican American, Chicano",Other (please specify),72.0,12th grade no diploma,No formal education,Leans Democrat,5th or 6th grade,United States,United States,I met [Partner Name] in [Answer in Q15A6],20.0,0.0,sexually attracted only to opposite gender,nan,No,1981.0,September,no,1982.0,October,0.0,,nan,,,nan,,nan,1983.0,September,heterosexual or straight,nan,,[Partner Name] earned more,181.0,Different High School,,Yes,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.2079718,"unpartnered, has had past partner",1,1981.7084,1982.7916,29.0,1.083252,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,181.0,2.0,yes,no,no,no,Other (please specify),no,0.0,5.5,12.0,12.0
11,15,1939669,Qualified,1.2145,95141.0,,1.2075,94593.0,1.3653891,94772.0,8,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,Refused,nan,nan,nan,No (Not Latino or Hispanic),1995.0,Associate degree,"Some college, no degree",Undecided/Independent/Other,12th grade no diploma,I met [Partner Name] in [answer in Q15A7_2],10.0,Never married,nan,I am sexually attracted only to women,No,2014,June,2014,November,nan,nan,nan,nan,2016,April,Q21B_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Same High School,Did not attend same college or university,Yes,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Democrat,Yes,Yes,Every day,No,Never,22,18-24,18-29,Associate degree,Some college,"White, Non-Hispanic",Male,No,4,A one-family house detached from any other house,"$150,000 to $174,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,22.0,Associate degree,"Some college, no degree",Undecided/Independent/Other,12th grade no diploma,United States,United States,I met [Partner Name] in [Answer in Q15A6],10.0,0.0,sexually attracted only to opposite gender,nan,No,2014.0,June,no,2014.0,November,0.0,,nan,,,nan,2016.0,April,,nan,heterosexual or straight,nan,,I earned more,0.0,Same High School,2.0,Yes,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.3369625,"unpartnered, has had past partner",0,2014.4584,2014875,19.0,0.41662598,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,no,0.0,,nan,nan,nan,nan,White,no,13.0,12.0,14.0,14.0
12,16,645963,Qualified,0.9694,75940.0,,0.9638,75502.0,1.0898236,75645.0,3,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1989.0,Bachelors degree,"Some college, no degree",Strong Democrat,Masters degree,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",0.0,Never married,nan,"I am mostly sexually attracted to women, less often sexually attracted to men",No,2017,June,2017,June,nan,nan,nan,nan,2017,July,Q21B_2,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)","Yes, I have met at least one person for dating, romance, or sex in the past year.","Two to Five people. I met between two and five different people in the past year for dating, romance, or sex.","Yes, I have used a phone dating app in the past year to meet someone in person for dating, romance, or sex","Two to Five people. Using phone apps, I met between two and five different people besides [Partner Name] in person in t",Leans Democrat,Yes,Yes,Every day,Not asked,Never,25,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,No,3,A one-family house detached from any other house,"$175,000 to $199,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,28.0,Bachelors degree,"Some college, no degree",Strong Democrat,Masters degree,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,0.0,"sexually attracted mostly to opposite gender, sometimes same gender",nan,No,2017.0,June,no,2017.0,June,0.0,,nan,,,nan,2017.0,July,,nan,heterosexual or straight,nan,,[Partner Name] earned more,6.0,Different High School,2.0,No,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",2.0,"Yes, I have used a phone dating app in the past year to meet someone in person for dating, romance, or sex",3.5,yes,no,,3.5,1.0671341,"unpartnered, has had past partner",0,2017.4584,2017.4584,25.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,6.0,1.0,no,no,no,no,White,no,13.0,17.0,16.0,16.0
13,17,729415,Qualified,1.2698,99473.0,,1.2625,98901.0,1.4275808,99089.0,5,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1978.0,"Some college, no degree",Refused,Leans Democrat,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],2.0,Never married,nan,I am sexually attracted only to women,No,2009,August,2009,August,nan,nan,nan,nan,2013,October,Q21B_2,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Democrat,Yes,No,Every day,Yes,Once a year or less,39,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,39.0,"Some college, no degree",Refused,Leans Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,0.0,sexually attracted only to opposite gender,nan,No,2009.0,August,no,2009.0,August,0.0,,nan,,,nan,2013.0,October,,nan,heterosexual or straight,nan,,[Partner Name] earned more,28.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.3978593,"unpartnered, has had past partner",0,2009625,2009625,31.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,28.0,0.0,no,no,no,no,White,no,,12.0,13.0,12.0
21,27,1710975,Qualified,,,0.4993,,,0.15472347,10739.0,7,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,I wanted to break up more,nan,nan,"Yes, we were a same-sex couple",No (Not Latino or Hispanic),1965.0,Professional or Doctorate degree,HS graduate or GED,Strong Democrat,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],0.0,Never married,nan,I am sexually attracted only to men,Yes,2005,April,2005,May,2006,August,nan,nan,2011,June,Q21C_2,nan,nan,gay,Some of them,21,[Partner Name] earned more,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)","Yes, I have met at least one person for dating, romance, or sex in the past year.","Six to Twenty people. I met between six and twenty different people  in the past year for dating, romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Strong Democrat,Not asked,Yes,Every day,Not asked,Never,58,55-64,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A one-family house attached to one or more houses,"$175,000 to $199,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,52.0,Professional or Doctorate degree,HS graduate or GED,Strong Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to same gender,nan,Yes,2005.0,April,no,2005.0,May,0.0,2006.0,August,,,nan,2011.0,June,,nan,gay,Some of them,21.0,[Partner Name] earned more,441.0,Different High School,2.0,No,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.",3.0,1.0,nan,13.0,yes,no,,0.0,0.21772173,"unpartnered, has had past partner",0,2005.2916,2005375,46.0,0.08337402,2006625,1.25,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,441.0,2.0,no,no,no,no,White,no,12.0,12.0,20.0,17.0
22,28,1946291,Qualified,1.6552,129664.0,,1.6457,128920.0,1.8608868,129164.0,16,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,divorce,We both equally wanted the [divorce/separation] .,nan,"Yes, Other Latino/Hispanic",1992.0,HS graduate or GED,No formal education,Not Strong Democrat,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],2.0,Once,nan,I am sexually attracted only to women,Yes,2005,May,2009,February,2011,April,2015,September,2017,February,Q21D_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,Yes,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,Yes,Every day,No,Never,27,25-34,18-29,"Some college, no degree",Some college,Hispanic,Male,Yes,1,A building with 2 or more apartments,"$40,000 to $49,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,"Yes, Other Latino/Hispanic",White,25.0,HS graduate or GED,No formal education,Not Strong Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,1.0,sexually attracted only to opposite gender,nan,Yes,2005.0,May,no,2009.0,February,0.0,2011.0,April,,2015.0,September,2017.0,February,,nan,heterosexual or straight,nan,,I earned more,172.0,Different High School,,Yes,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.8221443,"unpartnered, has had past partner",0,2005375,2009125,15.0,3.75,2011.2916,2.166626,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,172.0,4.0,no,yes,no,no,White,no,0.0,12.0,12.0,13.0
26,32,1203763,Qualified,0.8097,63430.0,,805,63062.0,0.9102594,63181.0,282,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1970.0,"Some college, no degree",10th grade,Leans Republican,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],2.0,Never married,nan,I am sexually attracted only to women,Yes,1992,September,1992,Refused,1993,Refused,nan,nan,2009,Refused,Q21C_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Republican,Yes,Yes,Every day,No,A few times a year,57,55-64,45-59,Associate degree,Some college,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,47.0,"Some college, no degree",10th grade,Leans Republican,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,0.0,sexually attracted only to opposite gender,nan,Yes,1992.0,September,no,1992.0,September,1.0,1993.0,March,1.0,,nan,2009.0,nan,,nan,heterosexual or straight,nan,,I earned more,0.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.8913083,"unpartnered, has had past partner",0,1992.7084,1992.7084,32.0,0.0,1993.2084,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,no,0.0,,nan,nan,nan,nan,White,no,10.0,12.0,13.0,14.0
