,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S2,Q4,Q5,Q6A,Q6B,Q9,Q10,Q11,Q12,Q14,Q15A7,Q16,Q17B,Q17C,Q17D,Q19,Q20,Q21A_Year,Q21A_Month,Q21B_Year,Q21B_Month,Q21C_Year,Q21C_Month,Q21D_Year,Q21D_Month,w6_identity,w6_outness,w6_outness_timing,Q23,Q24_Refused,Q25,Q26,Q27,Q28,w6_friend_connect_1,w6_friend_connect_2,w6_friend_connect_3,w6_friend_connect_4,w6_friend_connect_Refused,Q32,Q34,Q35_Refused,w6_sex_frequency,w6_otherdate,w6_how_many,w6_how_meet_Refused,w6_otherdate_app,w6_how_many_app,partyid7,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,w6_relationship_quality,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
16,21,2154415,Qualified,1.0371,81244.0,,1.0312,80782.0,1.1660367,80935.0,4,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,"No, we are an opposite-sex couple","Yes, Mexican, Mexican American, Chicano",White,37.0,"Some college, no degree","Some college, no degree",Undecided/Independent/Other,Associate degree,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",8.0,Never married,I am sexually attracted only to men,nan,Yes,nan,2007,June,2007,July,2013,June,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once a day or more,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Republican,Every day,No,A few times a year,34,25-34,30-44,Associate degree,Some college,"White, Non-Hispanic",Female,Yes,2,A one-family house attached to one or more houses,"$100,000 to $124,999",Living with partner,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"No, we are an opposite-sex couple","Yes, Mexican, Mexican American, Chicano",White,37.0,"Some college, no degree","Some college, no degree",Undecided/Independent/Other,Associate degree,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",8.0,0.0,sexually attracted only to opposite gender,Yes,nan,2007.0,June,no,2007.0,July,0.0,2013.0,June,,,heterosexual or straight,nan,,[Partner Name] earned more,70.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,10.0,,1.1417605,1,2007.4584,2007.5416,24.0,0.08325195,2013.4584,5.916748,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,70.0,1.0,excellent,no,no,no,no,White,no,13.0,14.0,13.0,14.0
23,29,1760115,Qualified,0.8582,67229.0,,0.8532,66838.0,0.9647619,66964.0,14,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,55.0,HS graduate or GED,HS graduate or GED,Leans Democrat,10th grade,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",2.0,Once,I am sexually attracted only to men,nan,No,No,2008,June,2011,March,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once or twice a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Undecided/Independent/Other,Every day,No,Never,64,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,1,A mobile home,"$15,000 to $19,999",Widowed,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,55.0,HS graduate or GED,HS graduate or GED,Leans Democrat,10th grade,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",2.0,1.0,sexually attracted only to opposite gender,No,No,2008.0,June,no,2011.0,March,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] earned more,180.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,6.3333335,,0.9446761,1,2008.4584,2011.2084,55.0,2.75,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,180.0,1.0,excellent,no,no,no,no,White,no,12.0,10.0,12.0,12.0
27,33,2930471,Qualified,0.9387,73535.0,,0.9334,73120.0,1.0554485,73259.0,4,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,25.0,"Some college, no degree",HS graduate or GED,Leans Republican,Masters degree,I met [Partner Name] in [Answer in Q15A6],0.0,Never married,I am sexually attracted only to men,nan,No,No,2014,December,2015,January,nan,nan,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,nan,Different High School,Attended same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,Refused,2 to 3 times a month,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Strong Republican,About once a month,No,Once a year or less,23,18-24,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"$10,000 to $12,499",Never married,Metro,South,West-South Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,25.0,"Some college, no degree",HS graduate or GED,Leans Republican,Masters degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,No,No,2014.0,December,no,2015.0,January,0.0,,nan,,,heterosexual or straight,nan,,We earned about the same amount,3.0,Different High School,1.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,2.5,,1.0334748,1,2014.9584,2015.0416,20.0,0.08325195,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,3.0,0.0,excellent,no,no,no,no,White,no,12.0,17.0,13.0,13.0
28,35,2871183,Qualified,,,0.3766,,,0.116701104,8100.0,16,Completed survey in over 2 minutes,LGB sample,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),White,43.0,"Some college, no degree",HS graduate or GED,Strong Republican,"Some college, no degree",I met [Partner Name] in [Answer in Q15A6],11.0,Never married,nan,I am equally sexually attracted to men and women,No,No,2012,August,2017,February,nan,nan,nan,nan,bisexual,All or most of them,30,I earned more,nan,Different High School,Did not attend same college or university,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,2 to 3 times a month,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Two to Five people. I met between two and five different people besides [Partner Name] in the past year for dating, rom",nan,"No, I have not used a phone dating app in the past year to meet someone in person besides [Partner Name]",nan,Not Strong Republican,Every day,Yes,More than once a week,38,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,No,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),White,43.0,"Some college, no degree",HS graduate or GED,Strong Republican,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],11.0,0.0,sexually attracted to men and women equally,No,No,2012.0,August,no,2017.0,February,0.0,,nan,,,bisexual,All or most of them,30.0,I earned more,477.0,Different High School,2.0,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",Good,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",1.0,nan,3.5,yes,no,0.41666666,0.0,0.16421792,0,2012625,2017125,33.0,4.5,,,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,477.0,2.0,good,yes,no,no,no,Other (please specify),yes,12.0,13.0,13.0,16.0
29,37,2106585,Qualified,1.2118,94929.0,,1.2048,94381.0,1.362336,94560.0,120,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,22.0,11th grade,11th grade,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],5.0,Once,I am sexually attracted only to men,nan,No,Yes,2010,April,2010,April,2012,September,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Same High School,nan,No,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet",Fair,nan,3 to 6 times a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Republican,Every day,No,A few times a year,23,18-24,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Divorced,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,22.0,11th grade,11th grade,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],5.0,1.0,sexually attracted only to opposite gender,No,Yes,2010.0,April,no,2010.0,April,0.0,2012.0,September,,,heterosexual or straight,nan,,I earned more,205.0,Same High School,,No,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",Fair,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,7.25,,1.333973,1,2010.2916,2010.2916,16.0,0.0,2012.7084,2.416748,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,205.0,2.0,fair,no,no,no,no,White,no,11.0,12.0,11.0,12.0
36,46,2686671,Qualified,1.3614,106649.0,,1.3535,106030.0,1.5304797,106231.0,11,Completed survey in over 2 minutes,gen pop,I have a romantic partner who is not yet a sexual partner,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,24.0,HS graduate or GED,HS graduate or GED,Leans Democrat,HS graduate or GED,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",4.0,Never married,nan,I am sexually attracted only to women,No,No,2016,March,2017,April,nan,nan,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Same High School,nan,No,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet",Fair,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Democrat,Every day,No,Once a week,20,18-24,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,No,3,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,1,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,24.0,HS graduate or GED,HS graduate or GED,Leans Democrat,HS graduate or GED,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",4.0,0.0,sexually attracted only to opposite gender,No,No,2016.0,March,no,2017.0,April,0.0,,nan,,,heterosexual or straight,nan,,I earned more,105.0,Same High School,,No,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",Fair,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,0.25,,1.498616,0,2016.2084,2017.2916,19.0,1.083252,,,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,105.0,2.0,fair,no,yes,no,no,White,no,12.0,12.0,12.0,12.0
38,48,2618039,Qualified,0.8292,64957.0,,0.8244,64581.0,0.9321961,64704.0,5523,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,53.0,12th grade no diploma,7th or 8th grade,Leans Republican,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],3.0,Once,nan,I am sexually attracted only to women,Yes,nan,2010,September,2010,December,2011,June,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Fair,nan,2 to 3 times a month,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Republican,About once a week,No,Never,50,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,1,A building with 2 or more apartments,"$5,000 to $7,499",Divorced,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,53.0,12th grade no diploma,7th or 8th grade,Leans Republican,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],3.0,1.0,sexually attracted only to opposite gender,Yes,nan,2010.0,September,no,2010.0,December,0.0,2011.0,June,,,heterosexual or straight,nan,,I earned more,103.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Fair,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,6.5833335,,0.91278833,0,2010.7084,2010.9584,43.0,0.25,2011.4584,0.5,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,103.0,3.0,fair,yes,no,no,no,White,no,7.5,12.0,12.0,12.0
41,51,1301695,Qualified,1.4979,117342.0,,1.4893,116668.0,1.6840364,116889.0,6,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),Asian or Pacific Islander,28.0,Professional or Doctorate degree,Professional or Doctorate degree,Leans Democrat,Bachelors degree,I met [Partner Name] in [Answer in Q15A6],4.0,Never married,I am sexually attracted only to men,nan,No,No,2013,November,2016,May,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,Attended same college or university,No,No,No,No,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once or twice a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Strong Democrat,Every day,Not asked,Never,22,18-24,18-29,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",Female,No,3,A one-family house detached from any other house,"$175,000 to $199,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,3,Not working - looking for work,No,No,No,Yes,No,No,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),Asian or Pacific Islander,28.0,Professional or Doctorate degree,Professional or Doctorate degree,Leans Democrat,Bachelors degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],4.0,0.0,sexually attracted only to opposite gender,No,No,2013.0,November,no,2016.0,May,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] earned more,182.0,Different High School,1.0,No,No,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,1.1666666,,1.6489757,1,2013875,2016375,18.0,2.5,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,182.0,2.0,excellent,no,no,no,no,Asian or Pacific Islander,no,20.0,16.0,20.0,16.0
43,54,2205453,Qualified,0.8716,68279.0,,0.8666,67887.0,0.979914,68016.0,9,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,32.0,Bachelors degree,Bachelors degree,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],0.0,Never married,nan,I am sexually attracted only to women,No,No,2017,June,2017,June,nan,nan,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Excellent,nan,3 to 6 times a week,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Two to Five people. I met between two and five different people besides [Partner Name] in the past year for dating, rom",nan,"Yes, I have used a phone dating app in the past year to meet someone besides [Partner Name] in person for dating, roman","One person. Using phone apps, I met only one person besides [Partner Name] in the past year for dating or romance, or s",Leans Republican,Not asked,Not asked,Never,32,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$175,000 to $199,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,32.0,Bachelors degree,Bachelors degree,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,No,No,2017.0,June,no,2017.0,June,0.0,,nan,,,heterosexual or straight,nan,,We earned about the same amount,169.0,Different High School,2.0,No,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Excellent,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",2.0,"No, I have not used a phone dating app in the past year to meet someone in person",3.5,yes,no,0.083333336,1.0,0.95951277,0,2017.4584,2017.4584,32.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,169.0,2.0,excellent,no,no,no,no,White,no,16.0,12.0,16.0,16.0
44,55,1872925,Qualified,0.7985,62552.0,,0.7939,62192.0,0.897708,62310.0,15,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,55.0,Bachelors degree,Associate degree,Strong Democrat,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],3.0,Four or more times,nan,I am sexually attracted only to women,Yes,nan,2015,January,2015,February,2015,February,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,3 to 6 times a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Republican,Every day,No,Once a year or less,53,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,No,4,A one-family house detached from any other house,"$35,000 to $39,999",Divorced,Metro,South,South Atlantic,Rented for cash,0,1,0,0,3,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,55.0,Bachelors degree,Associate degree,Strong Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],3.0,4.0,sexually attracted only to opposite gender,Yes,nan,2015.0,January,no,2015.0,February,0.0,2015.0,February,,,heterosexual or straight,nan,,I earned more,159.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,2.4166667,,0.87901825,0,2015.0416,2015125,51.0,0.08337402,2015125,0.0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,159.0,3.0,excellent,no,no,no,yes,White,no,14.0,12.0,16.0,13.0
